timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1773140865.184128,0.891625,-0.377500,-0.494934,-0.813088,-1.621918,-3.008469,-0.156441,0.390363,0.907273
1773140865.203922,0.647781,-0.745535,-0.326023,-0.608512,-2.437393,-2.554207,-0.140258,0.369391,0.918629
1773140865.224139,0.262739,-0.999417,-0.181474,-0.200463,-2.726196,-1.994008,-0.107099,0.354520,0.928895
1773140865.244405,-0.073074,-1.133000,0.097596,0.891960,-2.855728,-1.761214,-0.068879,0.355717,0.932052
1773140865.264634,-0.332029,-0.926417,0.724934,3.722047,-3.690554,-0.948248,-0.019702,0.400355,0.916149
1773140865.284301,-0.853485,-1.206632,-0.026124,6.436852,-3.352450,0.620854,0.048859,0.501432,0.863817
1773140865.304707,-1.083370,-1.535793,0.822549,5.086510,-1.887956,1.385581,0.102474,0.593395,0.798362
1773140865.324802,-0.853489,-1.114635,1.592151,4.742457,-1.061322,2.491666,0.149174,0.672512,0.724897
1773140865.344900,-1.286454,-1.158742,0.577382,2.957353,-0.486370,3.274032,0.202027,0.718389,0.665660
1773140865.364997,-1.046908,-0.605290,0.589839,1.228627,0.033560,3.673000,0.256061,0.729054,0.634755
1773140865.385112,-0.759122,-0.087675,0.882990,0.728296,0.272939,3.445649,0.306410,0.719389,0.623373
1773140865.405213,-0.895135,0.106884,0.637000,-0.530300,0.838131,2.869185,0.345117,0.702397,0.622522
1773140865.425375,-0.284774,-0.110703,0.133057,-2.471339,2.121341,3.705055,0.371200,0.657258,0.655914
1773140865.445480,-0.053806,0.525435,0.788181,-1.908232,1.295070,3.348130,0.395114,0.594027,0.700726
1773140865.473196,-0.001795,0.116707,1.929845,0.664873,2.409921,3.228259,0.404078,0.558037,0.724788
1773140865.486191,-0.201132,-0.166013,3.414455,0.896248,2.812738,2.729319,0.400931,0.553754,0.729802
1773140865.505398,-0.743202,1.085967,2.312623,1.904419,5.629108,2.174734,0.366401,0.545808,0.753555
1773140865.525546,-0.742972,0.667155,2.089846,5.392806,9.565954,2.148802,0.275031,0.589757,0.759306
1773140865.545800,0.036039,0.357739,1.664306,7.221212,12.651875,1.793183,0.132205,0.675525,0.725388
1773140865.566184,0.771927,0.504212,1.033179,8.332468,12.137441,0.876106,-0.025253,0.780990,0.624033
1773140865.586030,3.507671,-2.222462,-3.313399,8.293786,9.176850,-2.447270,-0.124081,0.876591,0.464964
1773140865.606331,1.787690,-1.080382,4.090851,3.762973,5.320507,1.828743,-0.188355,0.910384,0.368408
1773140865.626067,0.990640,-0.590568,0.792455,0.254684,6.856116,-0.165811,-0.218835,0.928199,0.300929
1773140865.646212,3.571416,-1.793551,0.721325,-0.538000,2.953495,0.282283,-0.241368,0.929110,0.280171
1773140865.666418,2.552999,-0.303264,-0.196667,-1.576944,2.827177,1.186759,-0.243413,0.926494,0.286984
1773140865.687925,2.385679,-0.930965,-0.350902,-1.235855,2.250014,1.270380,-0.236235,0.924053,0.300533
1773140865.706498,2.052534,-0.731062,-0.552122,-0.694625,2.261093,1.544315,-0.223860,0.924452,0.308668
1773140865.726523,1.661818,-0.745632,-0.432393,0.037491,2.117086,1.839197,-0.205626,0.930020,0.304601
1773140865.746831,1.328859,-0.563646,-0.440035,0.005792,1.763983,1.928744,-0.182298,0.937532,0.296312
1773140865.766767,1.034292,-0.164338,-0.352330,-0.144257,1.219506,2.161417,-0.152487,0.944001,0.292592
1773140865.791371,0.780488,0.041525,-0.232960,-0.291694,0.692231,2.403655,-0.114457,0.948877,0.294163
1773140865.837347,0.609277,0.127991,-0.260832,-0.216442,0.453965,2.391041,-0.071572,0.951721,0.298506
1773140865.837564,0.566463,0.212357,-0.309061,-0.098605,0.374527,2.320246,-0.029094,0.953246,0.300791
1773140865.849308,0.563186,0.112539,-0.260911,-0.000129,-0.008176,2.340353,0.014359,0.953455,0.301194
1773140865.867322,0.480770,0.090829,-0.319259,-0.160728,-0.257473,2.325864,0.060093,0.951194,0.302688
1773140865.887293,0.442333,0.167417,-0.409538,-0.261258,-0.417983,2.220176,0.105580,0.946063,0.306297
1773140865.907493,0.471179,0.266653,-0.359454,-0.048698,-0.612764,2.156931,0.150433,0.939448,0.307910
1773140865.927663,0.406839,0.169015,-0.242241,-0.010460,-0.880485,1.929905,0.193564,0.932044,0.306313
1773140865.947718,0.305950,0.053407,-0.137889,0.313092,-1.019533,1.733866,0.233525,0.925063,0.299541
1773140865.968227,0.289694,0.040629,-0.208779,0.669034,-1.148031,1.727744,0.271662,0.919500,0.284111
1773140866.004834,0.254098,-0.023870,-0.151120,0.482316,-1.257499,1.851685,0.311240,0.912420,0.265744
1773140866.013594,0.290536,-0.102829,-0.096129,-0.030732,-1.367746,2.009484,0.353263,0.900817,0.252455
1773140866.033435,0.389620,-0.077474,-0.020441,-0.717360,-1.700746,2.106355,0.397948,0.883322,0.247752
1773140866.048634,0.400312,-0.056741,0.121334,-1.327966,-2.094555,2.104921,0.444567,0.860177,0.249913
1773140866.068676,0.325704,-0.100149,0.130265,-1.635701,-2.412988,1.943529,0.490596,0.833487,0.254196
1773140866.089659,0.248312,0.013138,0.034166,-1.512508,-2.508824,1.770916,0.533945,0.806183,0.254896
1773140866.108867,0.155680,0.087915,0.091376,-1.511822,-2.420492,1.621676,0.573553,0.779638,0.251397
1773140866.128619,0.128934,-0.018503,0.130256,-1.530264,-2.309860,1.543450,0.609790,0.753321,0.246301
1773140866.148900,0.153943,-0.055156,0.177756,-1.689875,-2.331966,1.504215,0.643710,0.726252,0.241236
1773140866.169124,0.185451,-0.024005,0.167925,-1.585279,-2.472828,1.530366,0.676869,0.698260,0.232984
1773140866.190808,0.135994,-0.001854,0.208689,-1.391778,-2.501910,1.594810,0.709785,0.669670,0.218512
1773140866.209274,0.064963,-0.001311,0.259404,-1.385209,-2.366452,1.597671,0.741235,0.640517,0.200770
1773140866.229207,0.052755,-0.023156,0.294290,-1.456276,-2.270179,1.508389,0.769892,0.611230,0.183478
1773140866.249518,0.067146,0.002131,0.278481,-1.655493,-2.286525,1.277432,0.794762,0.583745,0.166115
1773140866.269733,0.067212,0.047169,0.262195,-1.771654,-2.142235,1.066586,0.815326,0.559306,0.149731
1773140866.289471,0.063188,0.048227,0.256700,-1.841764,-1.865726,0.832719,0.831679,0.538275,0.136275
1773140866.309720,0.080018,0.051433,0.239291,-1.943497,-1.601700,0.593609,0.843871,0.521229,0.127286
1773140866.329722,0.088766,0.049937,0.194316,-1.944831,-1.339846,0.366291,0.852519,0.508168,0.122380
1773140866.349923,0.084015,0.060246,0.180395,-1.731206,-1.128704,0.212898,0.858414,0.498760,0.119852
1773140866.370163,0.054789,0.047613,0.152962,-1.408525,-0.877326,0.162701,0.862646,0.491876,0.117896
1773140866.390407,0.009780,0.054454,0.084990,-0.976619,-0.542031,0.211177,0.866166,0.485844,0.117097
1773140866.410386,-0.015100,0.078373,0.010814,-0.510212,-0.185468,0.290974,0.869440,0.479733,0.118031
1773140866.430081,-0.011148,0.065050,-0.028821,-0.059324,-0.004156,0.347612,0.872751,0.473447,0.118970
1773140866.450458,-0.011468,0.080300,-0.066043,0.282557,0.142388,0.404588,0.876214,0.467064,0.118747
1773140866.470606,-0.027223,0.082188,-0.069948,0.475264,0.254281,0.420824,0.879655,0.460597,0.118562
1773140866.490528,-0.029979,0.077987,-0.083485,0.431399,0.302450,0.375565,0.882716,0.454560,0.119114
1773140866.510951,-0.015255,0.098081,-0.097340,0.365053,0.299022,0.305796,0.885159,0.449328,0.120824
1773140866.531125,-0.002458,0.165469,-0.098776,0.433687,0.236896,0.240477,0.886965,0.445432,0.122000
1773140866.551133,-0.016209,0.151163,-0.094617,0.506034,0.165939,0.155097,0.888326,0.442954,0.121121
1773140866.571105,-0.039710,0.144140,-0.065726,0.553716,0.126997,0.012720,0.888831,0.442606,0.118659
1773140866.591175,-0.072306,0.134400,-0.017779,0.488977,0.090610,-0.149919,0.888010,0.445067,0.115557
1773140866.611254,-0.072516,0.092929,0.020388,0.201487,0.059965,-0.229570,0.886207,0.449155,0.113569
1773140866.632990,-0.062014,0.108006,0.031220,-0.037492,0.014732,-0.250960,0.883944,0.453685,0.113189
1773140866.651632,-0.089282,0.064516,0.069274,-0.212728,-0.042646,-0.275293,0.881686,0.457899,0.113832
1773140866.671844,-0.106990,0.043935,0.063552,-0.426969,-0.089735,-0.357794,0.878962,0.462702,0.115464
1773140866.691696,-0.099728,0.095519,0.021654,-0.524393,-0.109097,-0.475780,0.875394,0.468797,0.117964
1773140866.711789,-0.095696,0.108478,0.014848,-0.566502,-0.118128,-0.578332,0.870629,0.476804,0.121092
1773140866.731900,-0.097807,0.071569,0.062642,-0.595282,-0.102578,-0.675412,0.864912,0.486232,0.124522
1773140866.752067,-0.102981,0.000181,0.124434,-0.783014,-0.118570,-0.792998,0.857925,0.497225,0.129350
1773140866.772226,-0.096769,-0.032863,0.130771,-1.367412,-0.052515,-0.969702,0.849470,0.509288,0.137936
1773140866.792051,-0.078126,0.078870,0.089907,-1.861000,-0.010055,-1.121597,0.838502,0.522449,0.154798
1773140866.812374,-0.097720,0.229099,0.045624,-1.990183,-0.080048,-1.097017,0.826907,0.534634,0.174331
1773140866.832419,-0.250113,0.296065,0.086025,-2.215376,-0.053031,-1.135282,0.815055,0.545289,0.195821
1773140866.852486,-0.432281,0.401129,0.046240,-2.642073,-0.156773,-1.188122,0.802688,0.553843,0.221247
1773140866.872831,-0.652097,0.732170,-0.188168,-2.699109,-0.090023,-1.210474,0.789838,0.560234,0.249585
1773140866.892817,-0.946811,1.089190,-0.278063,-2.296146,-0.073471,-1.763524,0.773715,0.570081,0.276354
1773140866.912755,-1.101339,1.133359,-0.172023,-1.613686,0.120776,-2.178042,0.750571,0.589022,0.299495
1773140866.932944,-1.121883,1.038545,-0.082581,-1.574612,0.150740,-2.773943,0.719692,0.616164,0.319978
1773140866.953074,-0.931262,0.974743,-0.122335,-2.431324,-0.111708,-3.235827,0.681125,0.645664,0.345236
1773140866.973301,-0.796249,1.027093,0.193909,-3.461093,0.070325,-3.659523,0.636124,0.669105,0.384247
1773140866.993086,-0.562625,1.032941,0.292059,-3.401387,0.434739,-3.823829,0.582782,0.686663,0.434579
1773140867.013345,-0.234514,0.839076,0.426030,-2.652328,0.651702,-3.777225,0.524385,0.701405,0.482753
1773140867.035792,0.010086,0.680165,0.659778,-1.859781,1.075220,-3.599662,0.462387,0.715434,0.523786
1773140867.062286,0.275655,0.291586,0.599437,-1.174206,1.366235,-3.382430,0.398142,0.729257,0.556477
1773140867.073828,0.691100,0.013853,0.561179,-0.660082,1.265623,-2.867862,0.335954,0.742143,0.579964
1773140867.093850,1.010982,-0.562010,0.424846,-0.345921,0.892706,-2.042281,0.286275,0.751661,0.594182
1773140867.114001,1.203681,-0.620180,0.151894,0.786519,0.501783,-1.137567,0.253778,0.761385,0.596565
1773140867.133925,1.101104,-0.742959,-0.121813,2.028705,0.259679,-0.337872,0.238724,0.782541,0.575014
1773140867.154231,1.071013,-0.714468,-0.243749,2.666752,0.198425,-0.061155,0.233705,0.809728,0.538258
1773140867.174582,1.131092,-0.434960,-0.137543,3.477745,0.483577,0.068264,0.231197,0.841973,0.487473
1773140867.194381,1.203577,-0.789447,0.439519,1.823453,-0.398490,-0.226510,0.224920,0.871479,0.435816
1773140867.214515,1.990656,-1.279527,-0.523877,0.071929,0.249954,-0.512275,0.218191,0.884966,0.411374
1773140867.234577,0.982376,-1.033891,1.451468,-4.545455,1.631894,-0.929268,0.193802,0.863160,0.466256
1773140867.254521,2.001411,-0.242134,-0.943280,-4.692106,2.356969,-0.618232,0.164986,0.812187,0.559582
1773140867.274878,1.514145,0.133962,0.023643,-3.116289,3.102647,-0.003890,0.127945,0.764110,0.632272
1773140867.295049,1.649920,-0.190713,-0.489185,-2.158878,3.187994,0.246267,0.087079,0.732782,0.674869
1773140867.315179,1.833897,-0.115648,-0.572439,-1.790598,2.570959,0.585881,0.052593,0.704744,0.707510
1773140867.334709,1.651404,0.146648,-0.865839,-0.949257,1.953386,0.858143,0.029855,0.683522,0.729319
1773140867.354790,1.507358,0.390639,-0.907791,0.288201,1.015703,1.215371,0.021024,0.678072,0.734696
1773140867.374974,1.405349,-0.017461,-1.137798,0.278091,-0.194118,1.455974,0.033677,0.684270,0.728451
1773140867.395095,1.288293,-0.075897,-0.961730,-1.140404,-1.531404,1.573247,0.067420,0.676895,0.732986
1773140867.415470,1.211596,0.083949,-0.680328,-2.059650,-2.915658,1.590812,0.122037,0.649342,0.750641
1773140867.435595,1.117960,0.403038,-0.472471,-2.047200,-4.147943,1.673857,0.196753,0.611565,0.766340
1773140867.455447,0.988980,0.600665,-0.239840,-1.111798,-5.024199,1.917379,0.289066,0.577817,0.763262
1773140867.475756,0.886771,0.530178,-0.049629,-0.057849,-5.561022,2.450269,0.393991,0.554600,0.732933
1773140867.495746,0.817260,0.372187,0.183723,0.045928,-5.721561,2.767193,0.503556,0.531423,0.681191
1773140867.516001,0.841334,0.432606,0.519288,-0.088179,-5.703715,2.883549,0.607702,0.500194,0.616851
1773140867.536922,0.771188,0.600211,0.994229,-0.531938,-5.784399,2.766651,0.702460,0.459314,0.543674
1773140867.556174,0.415743,0.621250,1.113498,-1.011616,-5.359032,2.183603,0.781584,0.416027,0.464810
1773140867.576264,0.359203,0.842527,0.990247,-0.939302,-5.430230,1.710616,0.842762,0.374682,0.386477
1773140867.596312,0.360269,0.656077,0.652530,0.508023,-4.701020,2.067707,0.891501,0.340887,0.298367
1773140867.616513,0.235855,0.388340,0.912992,1.860495,-4.071253,2.328571,0.928589,0.306347,0.209460
1773140867.636735,0.087440,0.481312,1.207170,2.173078,-3.431001,2.394126,0.954965,0.268139,0.127059
1773140867.656636,-0.106605,0.651893,1.321078,2.357416,-2.889928,2.342439,0.972617,0.225976,0.054319
1773140867.676761,-0.346519,0.644741,1.356167,1.730977,-2.366949,1.906850,0.982765,0.184757,-0.006115
1773140867.696830,-0.447995,0.444470,1.355389,0.585497,-2.116585,1.413822,0.987088,0.150974,-0.053524
1773140867.716933,-0.489858,0.263004,1.364238,-0.652321,-2.173021,0.888795,0.987081,0.128308,-0.095958
1773140867.737041,-0.548021,0.415071,1.586383,-2.102817,-2.339369,0.397800,0.983339,0.119185,-0.137256
1773140867.757149,-0.625571,0.624888,1.569248,-3.046872,-2.307396,0.120062,0.976462,0.122594,-0.177463
1773140867.777317,-0.776233,0.613803,1.361643,-3.375047,-1.986599,-0.183385,0.967930,0.136243,-0.211070
1773140867.797298,-0.855474,0.536663,1.374833,-2.737771,-0.966155,-0.368786,0.960180,0.155826,-0.231889
1773140867.817578,-0.716177,0.708963,1.159199,-1.924308,0.015198,-0.546633,0.956473,0.176138,-0.232671
1773140867.837616,-0.426244,0.783397,1.000304,-1.067967,0.687305,-0.662913,0.955923,0.194661,-0.219817
1773140867.857688,-0.206581,0.605917,1.011128,-0.590660,1.194246,-0.730057,0.957024,0.211054,-0.198902
1773140867.877895,-0.013735,0.631252,0.934479,-0.606467,1.676973,-1.049264,0.958544,0.230030,-0.168168
